Index,atemp,casual,casuallag1,casuallag24,count,countlag1,countlag24,date,datetime,day,holiday,hour,humidity,month,registered,registeredlag1,registeredlag24,season,temp,weather,weekday,windspeed,wknum,workingday,year
40548_9,9.85,6,3,,115,195,,1/5/2011,1/5/2011 9:00,5,0,9,37,1,109,192,,1,9.02,1,3,22.0028,2,1,2011
40548_10,9.85,4,6,,57,115,,1/5/2011,1/5/2011 10:00,5,0,10,37,1,53,109,,1,9.02,1,3,22.0028,2,1,2011
40548_11,11.365,12,4,,46,57,,1/5/2011,1/5/2011 11:00,5,0,11,33,1,34,53,,1,10.66,1,3,22.0028,2,1,2011
40548_12,11.365,5,12,,79,46,,1/5/2011,1/5/2011 12:00,5,0,12,33,1,74,34,,1,10.66,1,3,22.0028,2,1,2011
40548_13,12.88,6,5,,71,79,,1/5/2011,1/5/2011 13:00,5,0,13,30,1,65,74,,1,11.48,1,3,19.9995,2,1,2011
40548_14,14.395,10,6,,62,71,,1/5/2011,1/5/2011 14:00,5,0,14,28,1,52,65,,1,12.3,1,3,12.998,2,1,2011
40548_15,14.395,7,10,,62,62,,1/5/2011,1/5/2011 15:00,5,0,15,28,1,55,52,,1,12.3,1,3,12.998,2,1,2011
40548_16,15.91,4,7,,89,62,,1/5/2011,1/5/2011 16:00,5,0,16,28,1,85,55,,1,12.3,1,3,6.0032,2,1,2011
40548_17,11.365,4,4,,190,89,,1/5/2011,1/5/2011 17:00,5,0,17,38,1,186,85,,1,9.84,1,3,12.998,2,1,2011
40548_18,12.12,3,4,,169,190,,1/5/2011,1/5/2011 18:00,5,0,18,38,1,166,186,,1,9.84,1,3,8.9981,2,1,2011
40548_19,12.88,5,3,,132,169,,1/5/2011,1/5/2011 19:00,5,0,19,38,1,127,166,,1,9.84,1,3,7.0015,2,1,2011
40548_20,11.365,7,5,,89,132,,1/5/2011,1/5/2011 20:00,5,0,20,47,1,82,127,,1,9.02,1,3,11.0014,2,1,2011
40548_21,9.85,3,7,,43,89,,1/5/2011,1/5/2011 21:00,5,0,21,51,1,40,82,,1,8.2,1,3,12.998,2,1,2011
40548_22,9.85,1,3,,42,43,,1/5/2011,1/5/2011 22:00,5,0,22,55,1,41,40,,1,7.38,1,3,8.9981,2,1,2011
40548_23,12.88,1,1,,19,42,,1/5/2011,1/5/2011 23:00,5,0,23,47,1,18,41,,1,8.2,1,3,0,2,1,2011
40549_0,12.12,0,,,11,,,1/6/2011,1/6/2011 0:00,6,0,0,55,1,11,,,1,7.38,1,4,0,2,1,2011
40549_1,11.365,0,0,,4,11,,1/6/2011,1/6/2011 1:00,6,0,1,64,1,4,11,,1,6.56,1,4,0,2,1,2011
40549_2,11.365,0,0,,2,4,,1/6/2011,1/6/2011 2:00,6,0,2,64,1,2,4,,1,6.56,1,4,0,2,1,2011
40549_3,,,0,,,2,,1/6/2011,,6,,3,,1,,2,,,,,4,,2,,2011
40549_4,9.85,0,,,1,,,1/6/2011,1/6/2011 4:00,6,0,4,64,1,1,,,1,6.56,2,4,6.0032,2,1,2011
40549_5,9.09,0,0,,4,1,,1/6/2011,1/6/2011 5:00,6,0,5,69,1,4,1,,1,5.74,2,4,6.0032,2,1,2011
40549_6,8.335,0,0,,36,4,,1/6/2011,1/6/2011 6:00,6,0,6,63,1,36,4,,1,5.74,2,4,7.0015,2,1,2011
40549_7,11.365,0,0,,95,36,,1/6/2011,1/6/2011 7:00,6,0,7,59,1,95,36,,1,6.56,2,4,0,2,1,2011
40549_8,11.365,3,0,,219,95,,1/6/2011,1/6/2011 8:00,6,0,8,59,1,216,95,,1,6.56,1,4,0,2,1,2011
40549_9,12.12,6,3,,122,219,,1/6/2011,1/6/2011 9:00,6,0,9,51,1,116,216,,1,7.38,2,4,0,2,1,2011
40549_10,12.88,3,6,,45,122,,1/6/2011,1/6/2011 10:00,6,0,10,47,1,42,116,,1,8.2,1,4,0,2,1,2011
40549_11,12.88,2,3,,59,45,,1/6/2011,1/6/2011 11:00,6,0,11,44,1,57,42,,1,9.02,1,4,6.0032,2,1,2011
40549_12,14.395,6,2,,84,59,,1/6/2011,1/6/2011 12:00,6,0,12,35,1,78,57,,1,10.66,1,4,0,2,1,2011
40549_13,13.635,12,6,,67,84,,1/6/2011,1/6/2011 13:00,6,0,13,35,1,55,78,,1,10.66,1,4,7.0015,2,1,2011
40549_14,13.635,11,12,,70,67,,1/6/2011,1/6/2011 14:00,6,0,14,36,1,59,55,,1,11.48,1,4,11.0014,2,1,2011
40549_15,13.635,8,11,,62,70,,1/6/2011,1/6/2011 15:00,6,0,15,36,1,54,59,,1,11.48,1,4,0,2,1,2011
40549_16,12.88,12,8,,86,62,,1/6/2011,1/6/2011 16:00,6,0,16,38,1,74,54,,1,10.66,1,4,11.0014,2,1,2011
40549_17,11.365,9,12,,172,86,,1/6/2011,1/6/2011 17:00,6,0,17,51,1,163,74,,1,9.02,1,4,11.0014,2,1,2011
40549_18,11.365,5,9,,163,172,,1/6/2011,1/6/2011 18:00,6,0,18,51,1,158,163,,1,9.02,1,4,8.9981,2,1,2011
40549_19,12.88,3,5,,112,163,,1/6/2011,1/6/2011 19:00,6,0,19,55,1,109,158,,1,9.02,1,4,6.0032,2,1,2011
40549_20,10.605,3,3,,69,112,,1/6/2011,1/6/2011 20:00,6,0,20,51,1,66,109,,1,8.2,1,4,11.0014,2,1,2011
40549_21,10.605,0,3,,48,69,,1/6/2011,1/6/2011 21:00,6,0,21,55,1,48,66,,1,9.02,2,4,15.0013,2,1,2011
40549_22,10.605,1,0,,52,48,,1/6/2011,1/6/2011 22:00,6,0,22,51,1,51,48,,1,9.02,2,4,19.0012,2,1,2011
40549_23,9.85,4,1,,23,52,,1/6/2011,1/6/2011 23:00,6,0,23,59,1,19,51,,1,8.2,2,4,12.998,2,1,2011
40550_0,9.85,4,,,17,,,1/7/2011,1/7/2011 0:00,7,0,0,64,1,13,,,1,8.2,2,5,12.998,2,1,2011
40550_1,9.85,2,4,,7,17,,1/7/2011,1/7/2011 1:00,7,0,1,69,1,5,13,,1,8.2,2,5,15.0013,2,1,2011
40550_2,9.85,0,2,,1,7,,1/7/2011,1/7/2011 2:00,7,0,2,69,1,1,5,,1,8.2,2,5,15.0013,2,1,2011
40550_3,,,0,,,1,,1/7/2011,,7,,3,,1,,1,,,,,5,,2,,2011
40550_4,10.605,0,,,1,,,1/7/2011,1/7/2011 4:00,7,0,4,69,1,1,,,1,8.2,2,5,8.9981,2,1,2011
40550_5,13.635,0,0,,5,1,,1/7/2011,1/7/2011 5:00,7,0,5,55,1,5,1,,1,9.02,3,5,0,2,1,2011
40550_6,12.88,8,0,,34,5,,1/7/2011,1/7/2011 6:00,7,0,6,69,1,26,5,,1,8.2,2,5,0,2,1,2011
40550_7,10.605,8,8,,84,34,,1/7/2011,1/7/2011 7:00,7,0,7,69,1,76,26,,1,8.2,1,5,8.9981,2,1,2011
40550_8,9.85,20,8,,210,84,,1/7/2011,1/7/2011 8:00,7,0,8,51,1,190,76,,1,8.2,1,5,16.9979,2,1,2011
40550_9,9.09,9,20,,134,210,,1/7/2011,1/7/2011 9:00,7,0,9,47,1,125,190,,1,8.2,1,5,19.9995,2,1,2011
40550_10,9.85,16,9,,63,134,,1/7/2011,1/7/2011 10:00,7,0,10,37,1,47,125,,1,9.02,1,5,22.0028,2,1,2011
40550_11,9.85,19,16,,67,63,,1/7/2011,1/7/2011 11:00,7,0,11,40,1,48,47,,1,8.2,2,5,15.0013,2,1,2011
40550_12,9.85,9,19,,59,67,,1/7/2011,1/7/2011 12:00,7,0,12,37,1,50,48,,1,8.2,2,5,16.9979,2,1,2011
40550_13,9.09,9,9,,73,59,,1/7/2011,1/7/2011 13:00,7,0,13,37,1,64,50,,1,8.2,2,5,19.0012,2,1,2011
40550_14,9.85,7,9,,50,73,,1/7/2011,1/7/2011 14:00,7,0,14,40,1,43,64,,1,8.2,2,5,16.9979,2,1,2011
40550_15,10.605,9,7,,72,50,,1/7/2011,1/7/2011 15:00,7,0,15,37,1,63,43,,1,8.2,2,5,11.0014,2,1,2011
40550_16,10.605,5,9,,87,72,,1/7/2011,1/7/2011 16:00,7,0,16,37,1,82,63,,1,8.2,2,5,11.0014,2,1,2011
40550_17,12.88,9,5,,187,87,,1/7/2011,1/7/2011 17:00,7,0,17,37,1,178,82,,1,8.2,2,5,0,2,1,2011
40550_18,11.365,7,9,,123,187,,1/7/2011,1/7/2011 18:00,7,0,18,40,1,116,178,,1,8.2,1,5,6.0032,2,1,2011
40550_19,9.85,3,7,,95,123,,1/7/2011,1/7/2011 19:00,7,0,19,55,1,92,116,,1,6.56,1,5,6.0032,2,1,2011
40550_20,10.605,1,3,,51,95,,1/7/2011,1/7/2011 20:00,7,0,20,47,1,50,92,,1,7.38,1,5,7.0015,2,1,2011
40550_21,9.85,0,1,,39,51,,1/7/2011,1/7/2011 21:00,7,0,21,47,1,39,50,,1,7.38,1,5,8.9981,2,1,2011
40550_22,9.85,2,0,,36,39,,1/7/2011,1/7/2011 22:00,7,0,22,43,1,34,39,,1,7.38,2,5,11.0014,2,1,2011
40550_23,9.85,1,2,,15,36,,1/7/2011,1/7/2011 23:00,7,0,23,51,1,14,34,,1,7.38,2,5,11.0014,2,1,2011
40551_0,9.85,1,15,3,25,39,16,1/8/2011,1/8/2011 0:00,8,0,0,51,1,24,24,13,1,7.38,2,6,11.0014,2,0,2011
40551_1,10.605,1,1,8,16,25,40,1/8/2011,1/8/2011 1:00,8,0,1,55,1,15,24,32,1,7.38,2,6,6.0032,2,0,2011
40551_2,12.12,3,1,5,16,16,32,1/8/2011,1/8/2011 2:00,8,0,2,55,1,13,15,27,1,7.38,2,6,0,2,0,2011
40551_3,9.85,0,3,3,7,16,13,1/8/2011,1/8/2011 3:00,8,0,3,55,1,7,13,10,1,7.38,3,6,11.0014,2,0,2011
40551_4,9.85,0,0,0,1,7,1,1/8/2011,1/8/2011 4:00,8,0,4,55,1,1,7,1,1,7.38,3,6,11.0014,2,0,2011
40551_5,8.335,0,0,0,5,1,1,1/8/2011,1/8/2011 5:00,8,0,5,74,1,5,1,1,1,6.56,2,6,11.0014,2,0,2011
40551_6,8.335,0,0,2,2,5,2,1/8/2011,1/8/2011 6:00,8,0,6,74,1,2,5,0,1,6.56,2,6,11.0014,2,0,2011
40551_7,9.09,1,0,1,9,2,3,1/8/2011,1/8/2011 7:00,8,0,7,74,1,8,2,2,1,6.56,2,6,7.0015,2,0,2011
40551_8,9.09,0,1,1,15,9,8,1/8/2011,1/8/2011 8:00,8,0,8,93,1,15,8,7,1,6.56,3,6,7.0015,2,0,2011
40551_9,9.09,0,0,8,20,15,14,1/8/2011,1/8/2011 9:00,8,0,9,93,1,20,15,6,1,6.56,3,6,7.0015,2,0,2011
40551_10,9.85,5,0,12,61,20,36,1/8/2011,1/8/2011 10:00,8,0,10,80,1,56,20,24,1,7.38,2,6,11.0014,2,0,2011
40551_11,9.09,2,5,26,62,61,56,1/8/2011,1/8/2011 11:00,8,0,11,69,1,60,56,30,1,8.2,2,6,26.0027,2,0,2011
40551_12,9.09,8,2,29,98,62,84,1/8/2011,1/8/2011 12:00,8,0,12,59,1,90,60,55,1,8.2,2,6,23.9994,2,0,2011
40551_13,9.09,7,8,47,102,98,94,1/8/2011,1/8/2011 13:00,8,0,13,44,1,95,90,47,1,8.2,1,6,22.0028,2,0,2011
40551_14,8.335,12,7,35,95,102,106,1/8/2011,1/8/2011 14:00,8,0,14,32,1,83,95,71,1,8.2,1,6,32.9975,2,0,2011
40551_15,8.335,5,12,40,74,95,110,1/8/2011,1/8/2011 15:00,8,0,15,32,1,69,83,70,1,8.2,1,6,30.0026,2,0,2011
40551_16,6.82,8,5,41,76,74,93,1/8/2011,1/8/2011 16:00,8,0,16,29,1,68,69,52,1,7.38,1,6,30.0026,2,0,2011
40551_17,6.06,5,8,15,69,76,67,1/8/2011,1/8/2011 17:00,8,0,17,37,1,64,68,52,1,6.56,1,6,36.9974,2,0,2011
40551_18,6.06,3,5,9,55,69,35,1/8/2011,1/8/2011 18:00,8,0,18,39,1,52,64,26,1,5.74,1,6,19.9995,2,0,2011
40551_19,6.06,4,3,6,30,55,37,1/8/2011,1/8/2011 19:00,8,0,19,36,1,26,52,31,1,5.74,1,6,16.9979,2,0,2011
40551_20,6.06,0,4,11,28,30,36,1/8/2011,1/8/2011 20:00,8,0,20,36,1,28,26,25,1,4.92,1,6,16.9979,2,0,2011
40551_21,5.305,2,0,3,37,28,34,1/8/2011,1/8/2011 21:00,8,0,21,39,1,35,28,31,1,4.92,1,6,23.9994,2,0,2011
40551_22,5.305,1,2,11,34,37,28,1/8/2011,1/8/2011 22:00,8,0,22,36,1,33,35,17,1,4.92,1,6,26.0027,2,0,2011
